CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV,NOX_INDUS,RM_LSTAT
0.04544,0.0,3.24,0.46,6.144,32.2,5.8736,4,430,16.9,368.57,9.09,19.8,1.4904000000000002,55.84896
0.05083,0.0,5.19,0.515,6.316,38.1,6.4584,5,224,20.2,389.71,5.68,22.2,2.6728500000000004,35.87488
0.03738,0.0,5.19,0.515,6.31,38.5,6.4584,5,224,20.2,389.4,6.75,20.7,2.6728500000000004,42.592499999999994
0.03961,0.0,5.19,0.515,6.037,34.5,5.9853,5,224,20.2,396.9,8.01,21.1,2.6728500000000004,48.35637
0.03427,0.0,5.19,0.515,5.869,46.3,5.2311,5,224,20.2,396.9,9.8,19.5,2.6728500000000004,57.516200000000005
0.03041,0.0,5.19,0.515,5.895,59.6,5.615,5,224,20.2,394.81,10.56,18.5,2.6728500000000004,62.2512
0.03306,0.0,5.19,0.515,6.059,37.3,4.8122,5,224,20.2,396.14,8.51,20.6,2.6728500000000004,51.56209
0.05497,0.0,5.19,0.515,5.985,45.4,4.8122,5,224,20.2,396.9,9.74,19.0,2.6728500000000004,58.29390000000001
0.06151,0.0,5.19,0.515,5.968,58.5,4.8122,5,224,20.2,396.9,9.29,18.7,2.6728500000000004,55.442719999999994
0.02498,0.0,1.89,0.518,6.54,59.7,6.2669,1,422,15.9,389.96,8.65,16.5,0.97902,56.571000000000005
0.03113,0.0,4.39,0.442,6.014,48.5,8.0136,3,352,18.8,385.64,10.53,17.5,1.9403799999999998,63.32742
0.06162,0.0,4.39,0.442,5.898,52.3,8.0136,3,352,18.8,364.61,12.67,17.2,1.9403799999999998,74.72766
3.8497,0.0,18.1,0.77,6.395,91.0,2.5052,24,666,20.2,391.34,13.27,21.7,13.937000000000001,84.86165
5.20177,0.0,18.1,0.77,6.127,83.4,2.7227,24,666,20.2,395.43,11.48,22.7,13.937000000000001,70.33796
4.26131,0.0,18.1,0.77,6.112,81.3,2.5091,24,666,20.2,390.74,12.67,22.6,13.937000000000001,77.43904
4.54192,0.0,18.1,0.77,6.398,88.0,2.5182,24,666,20.2,374.56,7.79,25.0,13.937000000000001,49.840419999999995
3.83684,0.0,18.1,0.77,6.251,91.1,2.2955,24,666,20.2,350.65,14.19,19.9,13.937000000000001,88.70169
3.67822,0.0,18.1,0.77,5.362,96.2,2.1036,24,666,20.2,380.79,10.19,20.8,13.937000000000001,54.63878
4.22239,0.0,18.1,0.77,5.803,89.0,1.9047,24,666,20.2,353.04,14.64,16.8,13.937000000000001,84.95592
7.99248,0.0,18.1,0.7,5.52,100.0,1.5331,24,666,20.2,396.9,24.56,12.3,12.67,135.57119999999998
8.15174,0.0,18.1,0.7,5.39,98.9,1.7281,24,666,20.2,396.9,20.85,11.5,12.67,112.3815
6.96215,0.0,18.1,0.7,5.713,97.0,1.9265,24,666,20.2,394.43,17.11,15.1,12.67,97.74943
5.29305,0.0,18.1,0.7,6.051,82.5,2.1678,24,666,20.2,378.38,18.76,23.2,12.67,113.51676000000002
8.64476,0.0,18.1,0.693,6.193,92.6,1.7912,24,666,20.2,396.9,15.17,13.8,12.5433,93.94780999999999
8.71675,0.0,18.1,0.693,6.471,98.8,1.7257,24,666,20.2,391.98,17.12,13.1,12.5433,110.78352000000001
5.87205,0.0,18.1,0.693,6.405,96.0,1.6768,24,666,20.2,396.9,19.37,12.5,12.5433,124.06485
7.67202,0.0,18.1,0.693,5.747,98.9,1.6334,24,666,20.2,393.1,19.92,8.5,12.5433,114.48024000000001
5.66637,0.0,18.1,0.74,6.219,100.0,2.0048,24,666,20.2,395.69,16.59,18.4,13.394,103.17321
5.44114,0.0,18.1,0.713,6.655,98.2,2.3552,24,666,20.2,355.29,17.73,15.2,12.9053,117.99315000000001
5.09017,0.0,18.1,0.713,6.297,91.8,2.3682,24,666,20.2,385.09,17.27,16.1,12.9053,108.74919
8.24809,0.0,18.1,0.713,7.393,99.3,2.4527,24,666,20.2,375.87,16.74,17.8,12.9053,123.75881999999999
6.80117,0.0,18.1,0.713,6.081,84.4,2.7175,24,666,20.2,396.9,14.7,20.0,12.9053,89.3907
3.69311,0.0,18.1,0.713,6.376,88.4,2.5671,24,666,20.2,391.43,14.65,17.7,12.9053,93.4084
6.65492,0.0,18.1,0.713,6.317,83.0,2.7344,24,666,20.2,396.9,13.99,19.5,12.9053,88.37483
5.82115,0.0,18.1,0.713,6.513,89.9,2.8016,24,666,20.2,393.82,10.29,20.2,12.9053,67.01876999999999
7.83932,0.0,18.1,0.655,6.209,65.4,2.9634,24,666,20.2,396.9,13.22,21.4,11.855500000000001,82.08297999999999
4.34879,0.0,18.1,0.58,6.167,84.0,3.0334,24,666,20.2,396.9,16.29,19.9,10.498,100.46042999999999
4.03841,0.0,18.1,0.532,6.229,90.7,3.0993,24,666,20.2,395.33,12.87,19.6,9.6292,80.16722999999999
3.56868,0.0,18.1,0.58,6.437,75.0,2.8965,24,666,20.2,393.37,14.36,23.2,10.498,92.43532
4.64689,0.0,18.1,0.614,6.98,67.6,2.5329,24,666,20.2,374.68,11.66,29.8,11.1134,81.38680000000001
8.05579,0.0,18.1,0.584,5.427,95.4,2.4298,24,666,20.2,352.58,18.14,13.8,10.5704,98.44578
4.87141,0.0,18.1,0.614,6.484,93.6,2.3053,24,666,20.2,396.21,18.68,16.7,11.1134,121.12112
5.82401,0.0,18.1,0.532,6.242,64.7,3.4242,24,666,20.2,396.9,10.74,23.0,9.6292,67.03908
5.70818,0.0,18.1,0.532,6.75,74.9,3.3317,24,666,20.2,393.07,7.74,23.7,9.6292,52.245000000000005
5.73116,0.0,18.1,0.532,7.061,77.0,3.4106,24,666,20.2,395.28,7.01,25.0,9.6292,49.497609999999995
2.81838,0.0,18.1,0.532,5.762,40.3,4.0983,24,666,20.2,392.92,10.42,21.8,9.6292,60.04004
2.37857,0.0,18.1,0.583,5.871,41.9,3.724,24,666,20.2,370.73,13.34,20.6,10.5523,78.31914
3.67367,0.0,18.1,0.583,6.312,51.9,3.9917,24,666,20.2,388.62,10.58,21.2,10.5523,66.78096000000001
5.69175,0.0,18.1,0.583,6.114,79.8,3.5459,24,666,20.2,392.68,14.98,19.1,10.5523,91.58772
4.83567,0.0,18.1,0.583,5.905,53.2,3.1523,24,666,20.2,388.22,11.45,20.6,10.5523,67.61225
0.15086,0.0,27.74,0.609,5.454,92.7,1.8209,4,711,20.1,395.09,18.06,15.2,16.893659999999997,98.49923999999999
0.18337,0.0,27.74,0.609,5.414,98.3,1.7554,4,711,20.1,344.05,23.97,7.0,16.893659999999997,129.77357999999998
0.10574,0.0,27.74,0.609,5.983,98.8,1.8681,4,711,20.1,390.11,18.07,13.6,16.893659999999997,108.11281
0.11132,0.0,27.74,0.609,5.983,83.5,2.1099,4,711,20.1,396.9,13.35,20.1,16.893659999999997,79.87304999999999
0.17331,0.0,9.69,0.585,5.707,54.0,2.3817,6,391,19.2,396.9,12.01,21.8,5.6686499999999995,68.54106999999999
0.27957,0.0,9.69,0.585,5.926,42.6,2.3817,6,391,19.2,396.9,13.59,24.5,5.6686499999999995,80.53434
0.17899,0.0,9.69,0.585,5.67,28.8,2.7986,6,391,19.2,393.29,17.6,23.1,5.6686499999999995,99.792
0.2896,0.0,9.69,0.585,5.39,72.9,2.7986,6,391,19.2,396.9,21.14,19.7,5.6686499999999995,113.9446
0.26838,0.0,9.69,0.585,5.794,70.6,2.8927,6,391,19.2,396.9,14.1,18.3,5.6686499999999995,81.69539999999999
0.23912,0.0,9.69,0.585,6.019,65.3,2.4091,6,391,19.2,396.9,12.92,21.2,5.6686499999999995,77.76548
0.17783,0.0,9.69,0.585,5.569,73.5,2.3999,6,391,19.2,395.77,15.1,17.5,5.6686499999999995,84.0919
0.177783,0.0,9.69,0.585,6.027,79.7,2.4982,6,391,19.2,396.9,14.33,16.8,5.6686499999999995,86.36691
0.06263,0.0,11.93,0.573,6.593,69.1,2.4786,1,273,21.0,391.99,9.67,22.4,6.835889999999999,63.75431
0.04527,0.0,11.93,0.573,6.12,76.7,2.2875,1,273,21.0,396.9,9.08,20.6,6.835889999999999,55.5696
0.06076,0.0,11.93,0.573,6.976,91.0,2.1675,1,273,21.0,396.9,5.64,23.9,6.835889999999999,39.34464
0.10959,0.0,11.93,0.573,6.794,89.3,2.3889,1,273,21.0,393.45,6.48,22.0,6.835889999999999,44.02512
0.04741,0.0,11.93,0.573,6.03,80.8,2.505,1,273,21.0,396.9,7.88,11.9,6.835889999999999,47.516400000000004
0.98765,0.0,12.5,0.561,6.98,89.0,2.098,3,320,23.0,396.0,12.0,12.0,7.012500000000001,83.76
0.23456,0.0,12.5,0.561,6.98,76.0,2.654,3,320,23.0,343.0,25.0,32.0,7.012500000000001,174.5
